Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
MANAGEMENT,12480,1351.0,7332,1486.0,5147,1139.0
Chief executives,1046,2041.0,763,2251.0,283,1836.0
General and operations managers,823,1260.0,621,1347.0,202,1002.0
Marketing and sales managers,948,1462.0,570,1603.0,378,1258.0
Administrative services managers,170,1191.0,96,1451.0,73,981.0
Computer and information systems managers,636,1728.0,466,1817.0,169,1563.0
Financial managers,1124,1408.0,551,1732.0,573,1130.0
Human resources managers,254,1365.0,68,1495.0,186,1274.0
Purchasing managers,193,1348.0,109,1404.0,84,1226.0
"Transportation, storage, and distribution managers",276,966.0,224,1006.0,52,749.0
Education administrators,778,1423.0,282,1585.0,496,1252.0
Food service managers,763,742.0,389,820.0,374,680.0
Lodging managers,123,985.0,54,1171.0,68,902.0
Medical and health services managers,592,1210.0,154,1422.0,438,1156.0
"Property, real estate, and community association managers",401,914.0,171,1137.0,230,823.0
Social and community service managers,305,1022.0,105,1142.0,200,965.0
"Managers, all other",2803,1408.0,1717,1525.0,1085,1213.0
BUSINESS,5942,1137.0,2686,1327.0,3256,1004.0
"Wholesale and retail buyers, except farm products",142,926.0,73,886.0,69,985.0
"Purchasing agents, except wholesale, retail, and farm products",260,1009.0,136,1020.0,124,986.0
"Claims adjusters, appraisers, examiners, and investigators",317,963.0,141,1134.0,176,824.0
Compliance officers,235,1198.0,126,1375.0,109,1025.0
Human resources workers,592,1002.0,151,1158.0,441,984.0
Management analysts,529,1431.0,291,1519.0,237,1348.0
Market research analysts and marketing specialists,203,1284.0,85,1411.0,118,1239.0
"Business operations specialists, all other",186,1090.0,74,1461.0,112,969.0
Accountants and auditors,1464,1132.0,618,1345.0,846,988.0
Financial analysts,295,1426.0,168,1680.0,127,1171.0
Personal financial advisors,407,1419.0,248,1738.0,159,1033.0
Credit counselors and loan officers,313,997.0,146,1186.0,166,906.0
COMPUTATIONAL,4009,1428.0,3036,1503.0,973,1245.0
Computer systems analysts,499,1389.0,325,1462.0,173,1256.0
Computer programmers,450,1438.0,357,1501.0,93,1302.0
"Software developers, applications and systems software",1287,1682.0,1054,1751.0,232,1415.0
Web developers,151,1165.0,98,1233.0,53,1026.0
Computer support specialists,396,1079.0,291,1135.0,105,908.0
"Computer occupations, all other",490,1227.0,374,1252.0,116,1145.0
Operations research analysts,122,1441.0,59,1574.0,63,1325.0
ENGINEERING,2656,1424.0,2272,1452.0,383,1257.0
"Engineers, all other",393,1527.0,339,1537.0,54,1448.0
